"date","world_us_sim","north_america_us_sim","europe_us_sim","pacific_us_sim","emerging_us_sim","world_eu_sim","north_america_eu_sim","europe_eu_sim","pacific_eu_sim","emerging_eu_sim"
2008-08-24,3865.37173020155,2439.84847931464,4863.48062824074,2015.13289379241,549.411075508283,4790.58291351851,2766.94992723099,9859.4137502082,2842.95608537886,2713.17750925724
2008-08-25,3846.58929097496,2420.94108431781,4832.69410351191,2036.15584304504,546.136103612983,4770.83746575222,2743.99527911613,9827.03323698184,2872.96217807786,2703.66005602431
2008-08-26,3877.52764602287,2467.33796487703,4820.50724919291,2015.80695961407,544.233706348558,4836.71395263703,2812.33853415757,9859.58482200447,2860.98483281035,2683.30099412491
2008-08-27,3883.60567221019,2482.55122070923,4822.0353259624,1989.55215739887,551.427733209158,4862.28757093929,2840.26676223426,9899.69489423497,2834.07204013458,2749.0114464299
2008-08-28,3981.19122219317,2552.66636386001,4961.0124374575,1999.55314043693,565.468516593813,4975.47627909074,2915.25446569809,10167.0916086683,2843.14807784543,2761.59180764347
2008-08-29,3976.50715574766,2492.58089840877,5005.84351657181,2122.40077743666,563.413235176869,4957.07540721743,2839.47944095796,10233.536061762,3010.25501340072,2757.5357904113
2008-08-30,3970.67244843108,2497.21126343637,4989.13767986701,2113.262729031,561.206835314701,4961.3687883831,2851.80678914888,10211.170379215,2998.49238288725,2736.09209436828
2008-08-31,3963.12311852057,2502.24326214859,4930.21211947004,2095.15798479543,558.756208816973,4972.75790505218,2874.28594593303,10176.0073236436,2984.41120361934,2702.7975652274
2008-09-01,3951.94738357071,2507.68631676269,4915.12014075321,2070.22794147632,555.626284387752,4977.07584145483,2885.88124690981,10152.4862771463,2966.56566066021,2681.11940497418
2008-09-02,3938.54206881243,2484.7964565023,4997.62204898016,2015.44324017902,549.766655688176,4970.59589763882,2865.61714647951,10343.9300383698,2894.43955539391,2671.30927506937
2008-09-03,3898.99238283769,2483.29214492587,4829.47052318907,2030.46893762291,541.509187531709,4937.9447955283,2873.83929487522,10032.4439241211,2926.0572009575,2598.41185429582
2008-09-04,3673.02951036833,2330.86115557699,4514.76440976149,1970.65919212489,511.77436743529,4715.92109197854,2734.71484662193,9508.82885412794,2878.60903829298,2517.95972261137
2008-09-05,3659.77062832429,2389.46529102424,4320.34994508115,1923.24128713926,501.451060189121,4698.97492530068,2802.88672106725,9103.04029171098,2809.91057781505,2448.56614850844
2008-09-06,3702.86295384283,2415.56820844795,4386.17048967175,1954.45912071553,506.950494582693,4760.1300236138,2852.37362130195,9243.61295975112,2856.17462463799,2491.21347725903
2008-09-07,3787.2456140801,2446.45964462972,4515.67119658369,2023.89055044569,518.168291587726,4888.22910324939,2893.02030752169,9561.44416907101,2973.15511265969,2586.75635109962
2008-09-08,3832.69553646954,2472.43387535888,4579.88116724326,2055.90424714231,523.968701615309,4950.49331209425,2916.84860153316,9699.8570093413,3020.76600961659,2632.45352612376
2008-09-09,3657.58330011143,2310.67710958419,4501.59759743339,1986.65565559477,497.554654581704,4749.91653449119,2741.12156504162,9584.56203414846,2934.67628210095,2461.04474706692
