date,days,europe_us_price,europe_us_ndtr_l1,europe_us_gdtr_l1,europe_us_ndtr_l2,europe_us_gdtr_l2
1997-04-08,365,913.598,1546.51863227364,1727.94225334624,2664.36464,3326.0901
1997-04-09,365,918.447,1554.85597318744,1737.28488607124,2692.62448,3361.47344
1997-04-10,365,919.158,1556.13251489694,1738.73069286086,2696.55852,3366.46013
1997-04-11,365,911.735,1543.70874470678,1724.87889771243,2653.02139,3312.2225
1997-04-12,365,909.259,1539.61356576978,1720.32669005222,2638.47334,3294.15024
1997-04-13,365,907.358,1536.48300474926,1716.85103194794,2627.27399,3280.25339
1997-04-14,365,906.197,1534.5955791053,1714.76296996874,2620.34528,3271.6826
1997-04-15,365,916.022,1551.37777399627,1733.54773574965,2677.17563,3342.76242
1997-04-16,365,917.838,1554.5367794558,1737.0977895275,2687.59036,3355.84392
1997-04-17,365,923.215,1563.77807772529,1747.45269092149,2719.05947,3395.24709
1997-04-18,365,924.089,1565.3327347965,1749.20956453683,2723.98574,3401.47467
1997-04-19,365,925.814,1568.33751140351,1752.58745762407,2733.96256,3414.01122
1997-04-20,365,928.566,1573.09797818504,1757.92928035589,2750.07694,3434.21994
1997-04-21,365,930.182,1575.91737939944,1761.10007014854,2759.4498,3446.00315
1997-04-22,365,928.942,1573.89771968403,1758.86463478294,2751.8783,3436.63221
1997-04-23,365,933.571,1581.86861226522,1767.79935396358,2779.22054,3470.88385
1997-04-24,365,934.198,1583.00470101252,1769.08881370096,2782.70128,3475.30873
1997-04-25,365,925.341,1568.14609649332,1752.51437187614,2729.95749,3409.5582
1997-04-26,365,925.206,1567.98972847744,1752.35961834169,2728.91754,3408.33717
1997-04-27,365,925.08,1567.84856782209,1752.22184657516,2727.93088,3407.18261
1997-04-28,365,924.958,1567.71416241944,1752.09161700934,2726.95383,3406.03999
1997-04-29,365,938.208,1590.32148408398,1777.39268214769,2805.10729,3503.79157
1997-04-30,365,940.106,1593.62475439831,1781.10517345677,2816.22888,3517.7647
1997-05-01,365,945.946,1603.66453157791,1792.35566560732,2851.18658,3561.54741
1997-05-02,365,946.155,1604.09250900379,1792.85422735623,2852.19558,3562.88818
1997-05-03,365,947.406,1606.29246158835,1795.333295386,2859.5059,3572.1005
1997-05-04,365,949.809,1610.4607983036,1800.01388251088,2873.83246,3590.08356
1997-05-05,365,952.736,1615.52667488449,1805.69895977725,2891.39388,3612.11336
1997-05-06,365,964.635,1635.85647918803,1828.45688531689,2963.64213,3702.51045
1997-05-07,365,966.336,1638.82632953023,1831.79735099275,2973.8512,3715.34964
1997-05-08,365,970.302,1645.67374316915,1839.47708713862,2998.15179,3745.81494
1997-05-09,365,979.663,1661.70389347031,1857.42886850582,3056.02202,3818.25437
1997-05-10,365,982.328,1666.32456673096,1862.61661292258,3072.46886,3838.8972
1997-05-11,365,984.209,1669.60403282152,1866.30391179582,3084.01083,3853.40699
1997-05-12,365,986.878,1674.23233790932,1871.50040705602,3100.55281,3874.17048
1997-05-13,365,994.341,1687.04643303357,1885.85709751134,3147.46088,3932.91821
1997-05-14,365,998.688,1694.55085129051,1894.27340349268,3174.89791,3967.31704
1997-05-15,365,999.302,1695.67137078874,1895.54725215751,3178.50478,3971.91321
1997-05-16,365,1004.326,1704.33482152622,1905.26117452659,3210.41465,4011.91102
1997-05-17,365,1002.164,1700.76459810107,1901.29493576672,3196.38957,3994.4893
1997-05-18,365,998.132,1694.04845349748,1893.81551696046,3170.57286,3962.34664
1997-05-19,365,995.851,1690.27712459131,1889.62446390112,3155.87883,3944.08777
1997-05-20,365,995.142,1689.15474739858,1888.39188464606,3151.11662,3938.22869
1997-05-21,365,1007.584,1710.4338094607,1912.21743334116,3229.93424,4036.88668
1997-05-22,365,1002.081,1701.23538291989,1901.96471965127,3194.61232,3992.87042
1997-05-23,365,1005.901,1707.84185921281,1909.37691361398,3218.85888,4023.28571
1997-05-24,365,1006.489,1708.91937831088,1910.60302426718,3222.35134,4027.74132
1997-05-25,365,1006.97,1709.81498006235,1911.62579259785,3225.15898,4031.34121
1997-05-26,365,1007.33,1710.50493262118,1912.41870274013,3227.19149,4033.97255
1997-05-27,365,1003.003,1703.28832029677,1904.37945952873,3199.3694,3999.31845
1997-05-28,365,996.555,1692.48799816772,1892.33570612183,3158.21604,3948.00836
1997-05-29,365,995.307,1690.45471535939,1890.08534840747,3150.05189,3937.89861
1997-05-30,365,978.716,1662.45325204298,1858.81214997892,3045.11803,3806.86617
1997-05-31,365,977.989,1661.29828879799,1857.54262271826,3040.33005,3800.96995
