date,days,world_us_price,world_us_ndtr_l1,world_us_gdtr_l1,world_us_ndtr_l2,world_us_gdtr_l2
1991-06-04,365,652.826,865.881439708868,937.63601162035,1331.53752,1561.32744
1991-06-05,365,649.264,861.209923473744,932.593275349015,1316.93548,1544.25842
1991-06-06,365,646.593,857.716608072493,928.825518838949,1306.022,1531.51115
1991-06-07,365,640.614,849.840228724385,920.312547647118,1281.81181,1503.17506
1991-06-08,365,637.833,846.20095727256,916.386570506767,1270.61384,1490.09251
1991-06-09,365,635.591,843.273840249099,913.230973786409,1261.60559,1479.57474
1991-06-10,365,634.762,842.208150607961,912.086961023068,1258.19642,1475.60926
1991-06-11,365,638.451,847.152261655653,917.4568904453,1272.75023,1492.7284
1991-06-12,365,632.727,839.610417381254,909.30531238936,1249.8719,1465.94842
1991-06-13,365,631.582,838.128963948462,907.712279414874,1245.2442,1460.55744
1991-06-14,365,638.706,847.63537647137,918.025544131649,1273.27888,1493.49623
1991-06-15,365,637.899,846.597624819237,916.911634999414,1269.94287,1489.61585
1991-06-16,365,636.553,844.852408707311,915.033635386116,1264.48931,1483.25847
1991-06-17,365,634.762,842.519591430697,912.520426722087,1257.28151,1474.84706
1991-06-18,365,631.073,837.674844286797,907.288726393722,1242.60267,1457.67847
1991-06-19,365,624.713,829.285855218171,898.218709236397,1217.4982,1428.28063
1991-06-20,365,628.911,834.907868546716,904.323822009518,1233.79448,1447.44843
1991-06-21,365,630.946,837.654479443762,907.312157870321,1241.69929,1456.76487
1991-06-22,365,628.922,835.012451001601,904.464236379395,1233.65222,1447.36838
1991-06-23,365,624.236,828.843056833097,897.797416272562,1215.20997,1425.7815
1991-06-24,365,622.169,826.144431618577,894.888066091388,1207.08444,1416.29178
1991-06-25,365,623.059,827.35854723226,896.212775422674,1210.41912,1420.23468
1991-06-26,365,622.55,826.71101442002,895.519718875459,1208.31629,1417.79385
1991-06-27,365,622.805,827.071411595006,895.917090129673,1209.15603,1418.80127
1991-06-28,365,616.826,819.184460596432,887.389495037554,1185.8536,1391.50888
1991-06-29,365,619.01,822.129837743426,890.593558354721,1194.14428,1401.27958
1991-06-30,365,624.092,828.928889024292,897.975038497833,1213.65713,1424.22818
1991-07-01,365,626.239,831.82628048876,901.127286677386,1221.9111,1433.95707
1991-07-02,365,623.823,828.663559818771,897.715464267705,1212.39713,1422.8379
1991-07-03,365,615.427,817.565671813491,885.709200585322,1179.7132,1384.53288
1991-07-04,365,613.264,814.738649098762,882.660366646107,1171.35046,1374.76142
1991-07-05,365,614.409,816.295661000615,884.357810945042,1175.62506,1379.81144
1991-07-06,365,613.711,815.399396474085,883.396081775189,1172.84033,1376.57195
1991-07-07,365,612.354,813.635949070401,881.497500684041,1167.56469,1370.41705
1991-07-08,365,611.611,812.679262756162,880.47049574108,1164.61244,1366.98133
1991-07-09,365,615.809,818.305860336773,886.58197323444,1180.53569,1385.7197
1991-07-10,365,619.752,823.594655242621,892.327479314036,1195.59282,1403.44212
1991-07-11,365,619.879,823.78571379832,892.541212602179,1195.93766,1403.86806
1991-07-12,365,626.239,832.289933857027,901.772208989162,1220.42181,1432.66257
1991-07-13,365,629.316,836.427005108125,906.269548561029,1232.34231,1446.70344
1991-07-14,365,631.791,839.762985518665,909.898236764768,1241.95807,1458.03702
1991-07-15,365,632.727,841.03955075483,911.291287902802,1245.51257,1462.24157
1991-07-16,365,631.964,840.057578974794,910.237070872655,1242.38378,1458.5997
1991-07-17,365,629.42,836.72430875101,906.640006853291,1232.30771,1446.81711
1991-07-18,365,632.854,841.338939896035,911.65554765551,1245.68504,1462.57192
