date,days,europe_eu_price,europe_eu_ndtr_l1,europe_eu_gdtr_l1,europe_eu_ndtr_l2,europe_eu_gdtr_l2
2006-05-14,365,1717.377,3922.97696636036,4634.84257263643,16435.5436,22940.81212
2006-05-15,365,1713.624,3914.56243024271,4624.9575754758,16362.96554,22840.06609
2006-05-16,365,1716.666,3922.22373222454,4634.28897825806,16425.82807,22930.57527
2006-05-17,365,1668.443,3813.54057633255,4505.94574310166,15514.3362,21658.82809
2006-05-18,365,1661.89,3799.99161466797,4490.48163043009,15402.97497,21508.59999
2006-05-19,365,1662.617,3801.75051034866,4492.59206370819,15416.12121,21527.26321
2006-05-20,365,1650.862,3775.45006101052,4461.76014452566,15202.29693,21231.05072
2006-05-21,365,1628.174,3724.83359453161,4402.49233701843,14788.97412,20659.04982
2006-05-22,365,1616.47,3698.59560145963,4371.71189181829,14576.31622,20364.15142
2006-05-23,365,1657.287,3792.03017562933,4482.16775204817,15311.72339,21391.72506
2006-05-24,365,1633.404,3738.02748075711,4418.50207390336,14874.50392,20782.47203
2006-05-25,365,1653.809,3784.85406630774,4473.88675059693,15246.10005,21301.97882
2006-05-26,365,1685.248,3856.89679102018,4559.08216908041,15825.39995,22111.73684
2006-05-27,365,1684.793,3856.17420671868,4558.35621988357,15818.25189,22102.99279
2006-05-28,365,1684.321,3855.40651511384,4557.57149071974,15810.8108,22093.78573
2006-05-29,365,1683.835,3854.60065579079,4556.73661593435,15803.13161,22084.1966
2006-05-30,365,1647.131,3770.80429791639,4457.76078213886,15114.89168,21123.22972
2006-05-31,365,1661.915,3806.45034437691,4500.37094476344,15399.56574,21525.52101
2006-06-01,365,1668.748,3822.25611695514,4519.10382136204,15526.33574,21703.15729
2006-06-02,365,1673.108,3833.34152589911,4532.59232938035,15615.27326,21831.14663
2006-06-03,365,1671.043,3828.663088925,4527.07697518954,15576.68596,21777.35797
2006-06-04,365,1667.114,3819.72403583139,4516.50687592778,15502.50753,21673.64711
2006-06-05,365,1662.843,3809.97623192094,4504.96508071453,15421.54339,21560.30139
2006-06-06,365,1629.848,3735.17270892489,4416.83863404655,14814.88197,20715.2341
2006-06-07,365,1638.37,3758.24682947704,4444.41640127124,14996.87273,20972.45167
2006-06-08,365,1594.282,3657.41321181349,4325.25977756598,14191.11147,19846.45091
2006-06-09,365,1621.216,3719.29204665714,4398.47138876805,14670.33084,20516.95415
2006-06-10,365,1618.2,3712.39409903945,4390.32355549061,14615.57403,20440.46584
2006-06-11,365,1613.893,3702.51386471279,4378.63796521687,14536.4254,20329.76305
2006-06-12,365,1608.817,3690.85160275502,4364.83795658253,14442.93685,20198.94064
2006-06-13,365,1573.191,3609.1290242365,4268.19472441494,13802.34536,19303.0766
2006-06-14,365,1575.572,3614.75008819056,4274.84350248902,13844.37254,19361.8644
2006-06-15,365,1613.661,3702.13652477143,4378.18765089349,14512.7864,20296.66559
2006-06-16,365,1602.716,3677.06206880599,4348.54893183184,14315.05244,20020.26284
2006-06-17,365,1604.7,3681.48692177353,4353.73817343743,14353.78306,20074.02744
2006-06-18,365,1608.952,3691.28474852678,4365.34539042185,14436.24802,20189.54315
2006-06-19,365,1614.186,3703.51258667253,4379.88795276349,14535.55677,20329.18633
2006-06-20,365,1622.284,3723.85453472973,4404.69741600608,14676.00268,20532.59658
2006-06-21,365,1622.609,3724.80814938614,4405.825526446,14682.3622,20541.49528
2006-06-22,365,1629.246,3740.2689667536,4424.19310381472,14803.09136,20711.14863
2006-06-23,365,1632.045,3746.69560088133,4431.79498078858,14852.79562,20780.69133
2006-06-24,365,1631.163,3744.7357463813,4429.50721133889,14836.6469,20758.38308
2006-06-25,365,1629.101,3739.99572058917,4423.89588307768,14797.68175,20703.82336
2006-06-26,365,1626.712,3734.4645820924,4417.32747083418,14752.3202,20640.11494
2006-06-27,365,1616.12,3710.1474083541,4388.56380947321,14559.03889,20369.69329
2006-06-28,365,1619.154,3717.81420417416,4397.69064468672,14618.06119,20452.81162
2006-06-29,365,1647.976,3784.02478588488,4476.01544883652,15137.57538,21179.74674
2006-06-30,365,1670.676,3836.15581681809,4537.68094765262,15553.46919,21761.65598
2006-07-01,365,1673.477,3843.24228983177,4546.21201303122,15609.73958,21841.81279
2006-07-02,365,1675.948,3849.74236790211,4554.05033823388,15661.08526,21915.09259
2006-07-03,365,1678.719,3856.74903568682,4562.48542954208,15716.70127,21994.32851
2006-07-04,365,1681.879,3864.27183511546,4571.52027576771,15776.7784,22079.70799
2006-07-05,365,1662.166,3819.90764568792,4519.14998190108,15413.2889,21572.09872
2006-07-06,365,1677.282,3853.99257464391,4559.33821063154,15687.15008,21954.09021
2006-07-07,365,1674.457,3847.50261680189,4551.66028499982,15633.09783,21878.44246
2006-07-08,365,1675.998,3851.10194828852,4555.92830836569,15661.65916,21918.50958
2006-07-09,365,1678.395,3856.82652772075,4562.76438531763,15706.04312,21981.23875
2006-07-10,365,1680.036,3860.66758808936,4567.32165925552,15736.45853,22023.93316
2006-07-11,365,1664.963,3826.06652748943,4526.40183579468,15453.16919,21627.59678
2006-07-12,365,1669.059,3835.59602361772,4537.68858572743,15528.96111,21733.79563
2006-07-13,365,1644.71,3779.64157042811,4471.49204809995,15074.66142,21097.97529
2006-07-14,365,1624.598,3733.42393347251,4416.81405937109,14704.80967,20580.34007
2006-07-15,365,1622.232,3727.98792512188,4410.38379665452,14660.80466,20518.75952
2006-07-16,365,1620.29,3723.54427744461,4405.13477881132,14624.67376,20468.26662
2006-07-17,365,1617.924,3718.11144973716,4398.70883326747,14580.71848,20406.76069
2006-07-18,365,1614.59,3710.46749671816,4389.67265868101,14519.62057,20321.31472
2006-07-19,365,1650.221,3792.48674250091,4486.70576475394,15161.89011,21220.22121
2006-07-20,365,1653.712,3800.5106378057,4496.19856337776,15223.31549,21306.19185
2006-07-21,365,1638.449,3765.5397551483,4454.85001145711,14941.96111,20912.6404
2006-07-22,365,1645.995,3782.88091093621,4475.36521620733,15078.76229,21104.1026
2006-07-23,365,1661.055,3817.49411581011,4516.31492778699,15351.75313,21486.18103
2006-07-24,365,1669.011,3835.78050092239,4537.94894445127,15495.87853,21687.89934
2006-07-25,365,1670.448,3839.0828759954,4541.85598575997,15521.34292,21723.54043
2006-07-26,365,1676.827,3853.91710665564,4559.40595703417,15640.07052,21889.71271
2006-07-27,365,1694.08,3893.57076352785,4606.31834831614,15960.69329,22338.45205
2006-07-28,365,1704.3,3917.10289669849,4634.17374295554,16152.37418,22606.8776
2006-07-29,365,1702.919,3914.00726343244,4630.54167233988,16126.19769,22570.53614
2006-07-30,365,1700.618,3908.76006962717,4624.33789514584,16081.48532,22507.995
2006-07-31,365,1697.797,3902.26924433701,4616.63838365053,16026.29811,22430.55511
2006-08-01,365,1684.703,3873.0559041412,4582.36069645959,15785.09908,22095.72648
2006-08-02,365,1701.589,3913.98904702147,4631.03715093168,16117.53649,22563.44793
2006-08-03,365,1687.428,3881.45077810098,4592.54922407123,15848.31439,22186.66648
2006-08-04,365,1706.494,3925.30635376848,4644.43898340545,16205.23721,22686.33314
2006-08-05,365,1701.701,3914.287449182,4631.40411061261,16113.56508,22558.0246
2006-08-06,365,1692.515,3893.15034032882,4606.39140816211,15936.99803,22310.81042
2006-08-07,365,1687.803,3882.31388900134,4593.57040146385,15846.61026,22184.28018
2006-08-08,365,1688.89,3884.82168157714,4596.53762748113,15865.90217,22211.28762
2006-08-09,365,1700.062,3913.60534579374,4630.62834788442,16099.80974,22539.07017
2006-08-10,365,1686.419,3882.19765095043,4593.46612513823,15840.02716,22175.38299
2006-08-11,365,1688.305,3887.40638788811,4599.97077606161,15881.18001,22236.29355
2006-08-12,365,1691.392,3894.93178966118,4609.05012237524,15941.39108,22322.28645
2006-08-13,365,1696.378,3906.2592166365,4622.39350697224,16032.81404,22449.71382
2006-08-14,365,1702.988,3921.38144007957,4640.23970271285,16154.7099,22619.92675
2006-08-15,365,1717.774,3955.42820131737,4680.5278905962,16433.85308,23010.78533
2006-08-16,365,1723.98,3973.10072229515,4701.43994314616,16579.30197,23214.44228
2006-08-17,365,1725.965,3977.67622208986,4706.85434191344,16616.07371,23265.93159
2006-08-18,365,1721.934,3968.3861416485,4695.86115972543,16537.0412,23155.2691
2006-08-19,365,1721.531,3967.31628894119,4694.53047425803,16527.1765,23140.81832
2006-08-20,365,1721.196,3966.54744073883,4693.62154335604,16519.30158,23129.80048
2006-08-21,365,1720.924,3966.0593565848,4693.10779980274,16513.41747,23122.1906
2006-08-22,365,1726.082,3977.94455271482,4707.17182015323,16610.98151,23258.80096
2006-08-23,365,1718.028,3960.66816638812,4686.72834688815,16465.28654,23054.79774
2006-08-24,365,1722.818,3971.71164867194,4699.79609661168,16555.71201,23181.41012
2006-08-25,365,1724.375,3975.32167868564,4704.07773567612,16584.41328,23221.69475
2006-08-26,365,1726.287,3979.73670057425,4709.30516765574,16619.82831,23271.3134
2006-08-27,365,1728.685,3985.25482734891,4715.83040817208,16664.5266,23333.85635
2006-08-28,365,1731.548,3991.85871004679,4723.64615124052,16718.23462,23409.07118
2006-08-29,365,1735.165,4000.22727141296,4733.56070442975,16786.93312,23505.38126
2006-08-30,365,1744.94,4022.87171598591,4760.35639921228,16975.58234,23769.5315
2006-08-31,365,1740.729,4013.16468213809,4748.86973097372,16892.23635,23652.82775
2006-09-01,365,1749.221,4032.74038433736,4772.03435141122,17055.60568,23881.58298
2006-09-02,365,1752.597,4040.56563401785,4781.31394812087,17119.38133,23971.08103
2006-09-03,365,1755.308,4046.82571810249,4788.7262015854,17170.4515,24042.63639
2006-09-04,365,1756.41,4049.31587256609,4791.64859542446,17191.53256,24071.911
2006-09-05,365,1750.851,4036.53344590883,4776.535834194,17081.57303,23918.07397
2006-09-06,365,1731.648,3992.77039804304,4724.76097807208,16709.74216,23397.53769
2006-09-07,365,1715.459,3955.45971859982,4680.61755495263,16396.03252,22958.34416
2006-09-08,365,1722.405,3971.47599192695,4699.57027526958,16527.41871,23142.31773
2006-09-09,365,1719.779,3965.46023906871,4692.46786197003,16476.40543,23071.04667
2006-09-10,365,1715.582,3955.81161339571,4681.05956702079,16393.87319,22955.57217
2006-09-11,365,1712.809,3949.4555317168,4673.55432829774,16339.92845,22880.19428
2006-09-12,365,1734.616,3999.73860896016,4733.05659149251,16754.60676,23460.85501
2006-09-13,365,1739.463,4011.59113121021,4747.08474610043,16852.48271,23597.93258
2006-09-14,365,1738.949,4010.40590790014,4745.68199705768,16841.09646,23581.9866
2006-09-15,365,1743.96,4021.96291948346,4759.35813604408,16936.73248,23715.90469
2006-09-16,365,1744.085,4022.44261830547,4760.03061871727,16938.57634,23719.53138
2006-09-17,365,1744.191,4022.74911664864,4760.43676504286,16939.83246,23721.72333
2006-09-18,365,1744.286,4022.95614760498,4760.68782524085,16940.79451,23723.13099
2006-09-19,365,1734.94,4001.40092874781,4735.17997628876,16757.81855,23466.90139
2006-09-20,365,1752.901,4043.28450564131,4784.74410788947,17107.21977,23956.1865
2006-09-21,365,1760.139,4059.98346065544,4804.50746040655,17247.08273,24152.06571
2006-09-22,365,1739.69,4012.81625713476,4748.69073435108,16844.89739,23588.86331
2006-09-23,365,1739.157,4011.55325264138,4747.18105226104,16832.95657,23571.99223
2006-09-24,365,1738.651,4010.3888480867,4745.80354207417,16821.7628,23556.32122
2006-09-25,365,1738.172,4009.31292324241,4744.54492018212,16811.25864,23541.75672
2006-09-26,365,1761.976,4064.31173772995,4809.62961978992,17271.07883,24185.67038
2006-09-27,365,1772.47,4088.77753424975,4838.58556138189,17477.56254,24474.85724
2006-09-28,365,1773.948,4092.1866054441,4842.61979324064,17505.22975,24513.60125
2006-09-29,365,1773.003,4090.01914168898,4840.05970981958,17485.20434,24485.60763
2006-09-30,365,1772.678,4089.22108939921,4839.09698030373,17477.06932,24474.03021
2006-10-01,365,1772.431,4088.75526974746,4838.58489720148,17471.19302,24466.19742
2006-10-02,365,1772.112,4087.97630131679,4837.6430893688,17463.22035,24454.83059
